hotel_name,location,price,room_type,beds,rating,rating_title,number_of_ratings,per_night,Log_number_of_ratings,Log_price,Size
رواح للوحدات السكنية,Taif,190,One-Bedroom Apartment,2,7.5,Good,180,1,5.19295685089021,5.247024072160490,54
Aloft Riyadh Hotel,Riyadh,475,"Breezy Room, Guest room, 1 King",1,8.2,Good,2947,1,7.988542982737700,6.163314804034640,32
Nourth House ApartHotel,Al Qurayyat,200,Budget Twin Room,2,7.5,Good,264,1,5.575949103146320,5.298317366548040,35
Dyar Al Hamra Hotel,Jeddah,340,Junior Suite King,1,7.7,Good,3923,1,8.274611946209550,5.8289456176102100,28
Courtyard by Marriott Riyadh Northern Ring Road,Riyadh,525,"Standard, Guest room, 1 King",1,8.1,Good,1032,1,6.939253946041510,6.263398262591620,30
جراند بلو للشقق الفندقية,Dammam,207,One-Bedroom Apartment,1,7.3,Good,114,1,4.736198448394500,5.332718793265370,29
Golden Bujari Al-Dhahran - Hotel,Al Khobar,490,Deluxe Twin Room,2,8.4,Good,2315,1,7.747164966520340,6.194405391104670,40
Best Western Plus Buraidah,Buraydah,330,Grand Non-Smoking 2 Twin Beds Room,2,8.0,Good,1552,1,7.347299700743160,5.799092654460530,38
Al Hayatt Plus,Riyadh,210,Economy Quadruple Room,4,6.9,Very good,2300,1,7.7406644019172400,5.3471075307174700,100
Courtyard by Marriott Riyadh Olaya,Riyadh,550,"Guest room, 2 Double",1,8.3,Good,2859,1,7.958227192322310,6.309918278226520,30
Orchida Turaif Hotel 2,Ţurayf,125,Single Room with Bathroom,1,7.6,Good,32,1,3.4657359027997300,4.8283137373023000,28
Rose Park,Riyadh,600,Standard Apartment,2,8.2,Good,139,1,4.9344739331306900,6.396929655216150,40
Madinah Mövenpick Hotel,Madinah,626,One-Bedroom Suite,1,7.6,Good,3635,1,8.19836438996762,6.439350371100100,29
Grand Hyatt Alkhobar Hotel and Residences,Al Khobar,750,King Room,1,8.7,Fabulous,2257,1,7.721791776817540,6.620073206530360,34
Jabal Omar Marriott Hotel Makkah,Makkah,300,Superior Double Partial Haram View,2,7.8,Good,2671,1,7.890208213109960,5.703782474656200,55
Courtyard Riyadh by Marriott Diplomatic Quarter,Riyadh,490,"Guest room, 2 Double",1,8.1,Good,2443,1,7.8009820712577400,6.194405391104670,30
Gulanar Hotel,Unayzah,350,Deluxe King Room,1,8.5,Good,1343,1,7.202661196523240,5.857933154483460,30
Le Meridien Riyadh,Riyadh,800,"Deluxe Room, Guest room, 2 Twin/Single Bed(s)",2,8.2,Good,764,1,6.638567789166520,6.684611727667930,33
Novotel Riyadh Al Anoud,Riyadh,360,Superior Queen Room,1,7.2,Good,2943,1,7.987184748233470,5.886104031450160,28
Centro Waha by Rotana,Riyadh,450,Standard Twin Room,2,7.5,Good,6614,1,8.796943893541740,6.1092475827643700,35
Novotel Yanbu Albahr,Yanbu,480,Superior Double Room,1,8.0,Good,2591,1,7.85979918056211,6.173786103901940,33
Mövenpick Hotel City Star Jeddah,Jeddah,440,Superior King Room,1,8.5,Good,1614,1,7.3864708488298900,6.0867747269123100,30
Four Points by Sheraton Makkah Al Naseem,Makkah,149,King Room,1,8.5,Good,13389,1,9.50218875329738,5.003946305945460,29
أجنحة سالين - للوحدات السكنية المفروشة,Hail,99,Double Room with Private Bathroom,1,5.9,Very good,53,1,3.970291913552120,4.59511985013459,35
رمال الجزيره,Makkah,170,One-Bedroom Apartment,1,6.3,Very good,153,1,5.030437921392440,5.135798437050260,28
MENA AL DIYAR 114,Riyadh,140,Studio,1,6.3,Very good,292,1,5.676753802268280,4.941642422609300,40
Sharurah Plaza Hotel,Sharurah,200,One-Bedroom Apartment,2,8.7,Fabulous,294,1,5.683579767338680,5.298317366548040,46
Coral Al Ahsa Hotel,Al Khars,350,Standard Double Room,2,7.1,Good,1108,1,7.010311867307230,5.857933154483460,30
Ladera Hotel Tanomah,Tanomah,300,Studio,1,7.2,Good,163,1,5.093750200806760,5.703782474656200,30
القصر المميز خميس مشيط,Khamis Mushayt,134,Deluxe Double Studio,1,7.9,Good,281,1,5.638354669333750,4.897839799950910,27
ديوانية المسافر,Az Zulfi,79,One-Bedroom Apartment,2,8.0,Good,7,1,1.9459101490553100,4.3694478524670200,40
Al Jahwah hotel by AL BALAD INN,Al Namas,250,Junior Suite,1,8.1,Good,399,1,5.988961416889860,5.521460917862250,38
Al Andlus Palace 2 Hotel Kurban فندق قصر الاندلس 2 قربان,Makkah,180,Large Double Room,2,7.9,Good,58,1,4.060443010546420,5.19295685089021,43
Qemam Al Safwah Grand Hotel,Rafha,135,Double Room,1,5.9,Very good,19,1,2.9444389791664400,4.90527477843843,30
Rabigh Park Hotel,Rabigh,252,Standard Double Room,1,8.0,Good,530,1,6.272877006546170,5.529429087511420,29
"Bay la sun , Luxury apartment with nice view",King Abdullah Economic City,950,Deluxe Family Suite with City View,2,8.5,Good,99,1,4.59511985013459,6.856461984594590,33
منتجع جيدا بارك,Riyadh,400,Cottage with Garden View,3,8.7,Fabulous,361,1,5.8888779583328800,5.991464547107980,70
Kyona Purple -Al Qurayat,Jeddah,130,Studio,2,8.4,Good,79,1,4.3694478524670200,4.867534450455580,50
