"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url","cm"
"Marina Alsalaam","Dammam Show on map","SAR 140","1 night, 2 adults","One-Bedroom Apartment","2 beds
(1 sofa bed, 1 large double)","6.5","Review score","177 reviews","/hotel/sa/marina-alsalaam.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=41e029bb4b4a055ec48c44a45569d3cb&all_sr_blocks=706922102_331128161_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=26&highlighted_blocks=706922102_331128161_2_0_0&hpos=1&no_rooms=1&sr_order=popularity&sr_pri_blocks=706922102_331128161_2_0_0__14000&srepoch=1634545014&srpvid=a87e3a3b9dbc000b&ucfs=1&sig=v1lrc9UpaK&from=searchresults
;highlight_room=#hotelTmpl","Entire apartment­ •­ 1 bedroom •­ 1 living room •­ 1 bathroom •­ 24m² 2 beds
(1 sofa bed, 1 large double)"
"Open ApartHotel","Dammam Show on map","SAR 180","1 night, 2 adults","Deluxe Apartment","2 beds
(1 sofa bed, 1 large double)","5.5","Review score","731 reviews","/hotel/sa/ossuo-uossu-ossuo-uossu.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=41e029bb4b4a055ec48c44a45569d3cb&all_sr_blocks=73037514_191555574_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=27&highlighted_blocks=73037514_191555574_0_0_0&hpos=2&no_rooms=1&sr_order=popularity&sr_pri_blocks=73037514_191555574_0_0_0__18000&srepoch=1634545014&srpvid=a87e3a3b9dbc000b&ucfs=1&sig=v1ikOTkMOt&from=searchresults
;highlight_room=#hotelTmpl","Private apartment­ •­ 1 bedroom •­ 1 living room •­ 1 bathroom 2 beds
(1 sofa bed, 1 large double)"
"العييري للوحدات المفروشة الدمام 4","Dammam Show on map","SAR 248","1 night, 2 adults","Double Room with Private Bathroom","3 beds
(2 singles, 1 double)","6.0","Review score","7 reviews","/hotel/sa/l-yyry-llwhdt-lmfrwsh-ldmm-4.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=41e029bb4b4a055ec48c44a45569d3cb&all_sr_blocks=776257901_335937245_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=28&highlighted_blocks=776257901_335937245_2_0_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=776257901_335937245_2_0_0__24800&srepoch=1634545014&srpvid=a87e3a3b9dbc000b&ucfs=1&sig=v1uhBd28YU&from=searchresults
;highlight_room=#hotelTmpl","3 beds
(2 singles, 1 double)"
"العييري للوحات المفروشة الدمام 7","Dammam Show on map","SAR 250","1 night, 2 adults","Double Room with Private Bathroom","3 beds
(2 singles, 1 double)","4.3","Review score","10 reviews","/hotel/sa/l-yyry-llwht-lmfrwsh-ldmm-7.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=41e029bb4b4a055ec48c44a45569d3cb&all_sr_blocks=776249301_335924311_3_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=29&highlighted_blocks=776249301_335924311_3_0_0&hpos=4&no_rooms=1&sr_order=popularity&sr_pri_blocks=776249301_335924311_3_0_0__25000&srepoch=1634545014&srpvid=a87e3a3b9dbc000b&ucfs=1&sig=v10lKrs5lw&from=searchresults
;highlight_room=#hotelTmpl","3 beds
(2 singles, 1 double)"
"Aros Al Faisaliah Furnished Units","Dammam Show on map","SAR 224","1 night, 2 adults","Studio Apartment","1 extra-large double bed","7.7","Good","264 reviews","/hotel/sa/aros-alfaisaliah-furnished-units.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=41e029bb4b4a055ec48c44a45569d3cb&all_sr_blocks=153050801_89557385_0_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=30&highlighted_blocks=153050801_89557385_0_2_0&hpos=5&no_rooms=1&sr_order=popularity&sr_pri_blocks=153050801_89557385_0_2_0__22410&srepoch=1634545014&srpvid=a87e3a3b9dbc000b&ucfs=1&sig=v1hv_aWVjJ&from=searchresults
;highlight_room=#hotelTmpl","Entire apartment­ •­ 1 bedroom •­ 1 bathroom •­ 30m² 1 extra-large double bed"
"العييري للوحات المفروشة الدمام3","Dammam Show on map","SAR 250","1 night, 2 adults","Double Room with Private Bathroom","3 beds
(2 singles, 1 double)","3.9","Review score","6 reviews","/hotel/sa/l-yyry-llwht-lmfrwsh-ldmm3.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=41e029bb4b4a055ec48c44a45569d3cb&all_sr_blocks=773594801_335324249_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=31&highlighted_blocks=773594801_335324249_2_0_0&hpos=6&no_rooms=1&sr_order=popularity&sr_pri_blocks=773594801_335324249_2_0_0__25000&srepoch=1634545014&srpvid=a87e3a3b9dbc000b&ucfs=1&sig=v1fd3YO-xk&from=searchresults
;highlight_room=#hotelTmpl","3 beds
(2 singles, 1 double)"
"Morjan Chalets Families Only","Dammam Show on map","SAR 594","1 night, 2 adults","One-Bedroom Chalet with Jacuzzi","1 large double bed","7.1","Good","944 reviews","/hotel/sa/shlyht-lmrjn.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=41e029bb4b4a055ec48c44a45569d3cb&all_sr_blocks=588127507_309069747_2_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=32&highlighted_blocks=588127507_309069747_2_2_0&hpos=7&no_rooms=1&sr_order=popularity&sr_pri_blocks=588127507_309069747_2_2_0__59385&srepoch=1634545014&srpvid=a87e3a3b9dbc000b&ucfs=1&sig=v1GsYWkhgL&from=searchresults
;highlight_room=#hotelTmpl","Entire chalet­ •­ 1 bedroom •­ 1 living room •­ 1 bathroom •­ 70m² 1 large double bed"
"Khaleej ALez Furnished Units","Dammam Show on map","SAR 166","1 night, 2 adults","Two-Bedroom Apartment","3 beds
(2 singles, 1 extra-large double)","6.8","Review score","588 reviews","/hotel/sa/khaleej-alez-furnished-units.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=41e029bb4b4a055ec48c44a45569d3cb&all_sr_blocks=171979302_200593477_3_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=33&highlighted_blocks=171979302_200593477_3_0_0&hpos=8&no_rooms=1&sr_order=popularity&sr_pri_blocks=171979302_200593477_3_0_0__16600&srepoch=1634545014&srpvid=a87e3a3b9dbc000b&ucfs=1&sig=v1grE4Kk7i&from=searchresults
;highlight_room=#hotelTmpl","Entire apartment­ •­ 2 bedrooms •­ 2 bathrooms •­ 55m² 3 beds
(2 singles, 1 extra-large double)"
"Golden Vision Hotel","Dammam Show on map","SAR 300","1 night, 2 adults","Deluxe Queen Room with Two Queen Beds","2 single beds","8.2","Very good","10 reviews","/hotel/sa/golden-vision.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=41e029bb4b4a055ec48c44a45569d3cb&all_sr_blocks=773018206_335263348_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=34&highlighted_blocks=773018206_335263348_2_0_0&hpos=9&no_rooms=1&sr_order=popularity&sr_pri_blocks=773018206_335263348_2_0_0__30000&srepoch=1634545014&srpvid=a87e3a3b9dbc000b&ucfs=1&sig=v1OKbNy0YE&from=searchresults
;highlight_room=#hotelTmpl","2 single beds"
"layale Alnile","Dammam Show on map","SAR 160","1 night, 2 adults","Apartment","","6.6","Review score","227 reviews","/hotel/sa/layale-alnile.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=41e029bb4b4a055ec48c44a45569d3cb&all_sr_blocks=195693201_206263030_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3091069&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=35&highlighted_blocks=195693201_206263030_2_0_0&hpos=10&no_rooms=1&sr_order=popularity&sr_pri_blocks=195693201_206263030_2_0_0__16000&srepoch=1634545014&srpvid=a87e3a3b9dbc000b&ucfs=1&sig=v1DU9spX1e&from=searchresults
;highlight_room=#hotelTmpl","Entire apartment­ •­ 1 bathroom •­ 40m²"
