"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url"
"Novotel Riyadh Al Anoud","Al Olaya, Riyadh Show on map","SAR 360","1 night, 1 adult","Superior Queen Room","1 large double bed","7.2","Good","2,943 reviews","/hotel/sa/novotel-alanoud.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=4806601_246094890_2_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=51&highlighted_blocks=4806601_246094890_2_42_0&hpos=1&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=4806601_246094890_2_42_0__36000&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl"
"Centro Waha by Rotana","Riyadh Show on map","SAR 450","1 night, 1 adult","Standard Twin Room","2 single beds","7.5","Good","6,614 reviews","/hotel/sa/centro-waha.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=239972402_148407719_0_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=52&highlighted_blocks=239972402_148407719_0_42_0&hpos=2&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=239972402_148407719_0_42_0__45000&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl"
"Novotel Yanbu Albahr","Yanbu Show on map","SAR 480","1 night, 1 adult","Superior Double Room","1 double bed","8.0","Very good","2,591 reviews","/hotel/sa/novotel-yanbu.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=184260013_119191233_2_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=53&highlighted_blocks=184260013_119191233_2_42_0&hpos=3&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=184260013_119191233_2_42_0__48000&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl"
"Mövenpick Hotel City Star Jeddah","Jeddah Show on map","SAR 440","1 night, 1 adult","Superior King Room","1 extra-large double bed","8.5","Very good","1,614 reviews","/hotel/sa/movenpick-city-star-jeddah.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=178642615_246093435_2_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=54&highlighted_blocks=178642615_246093435_2_42_0&hpos=4&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=178642615_246093435_2_42_0__44000&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl"
"Holiday Inn Meydan, an IHG Hotel","Al Olaya, Riyadh Show on map","SAR 285","1 night, 1 adult","Standard Room","1 double bed","7.6","Good","2,406 reviews","/hotel/sa/holiday-inn-meydan.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=54814702_244936451_1_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=55&highlighted_blocks=54814702_244936451_1_42_0&hpos=5&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=54814702_244936451_1_42_0__28500&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl"
"Holiday Inn Riyadh Al Qasr, an IHG Hotel","Al Olaya, Riyadh Show on map","SAR 375","1 night, 1 adult","Standard Room","2 single beds","7.2","Good","4,162 reviews","/hotel/sa/holiday-inn-riyadh-al-qasr.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=18774327_94785589_3_42_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=56&highlighted_blocks=18774327_94785589_3_42_0&hpos=6&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=18774327_94785589_3_42_0__37500&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl"
"Dar Al Asalah Hotel-Apartments","Hotat bani tamim Show on map","SAR 200","1 night, 1 adult","One-Bedroom Apartment","1 large double bed","7.8","Good","55 reviews","/hotel/sa/dr-l-sl-llshqq-lfndqy.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=292752901_225530618_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=57&highlighted_blocks=292752901_225530618_2_0_0&hpos=7&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=292752901_225530618_2_0_0__20000&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl"
"Four Points by Sheraton Makkah Al Naseem","Makkah Show on map","SAR 149","1 night, 1 adult","King Room","1 extra-large double bed","8.5","Very good","13,389 reviews","/hotel/sa/four-points-by-sheraton-makkah-al-naseem.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=388944506_274564672_0_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=58&highlighted_blocks=388944506_274564672_0_2_0&hpos=8&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=388944506_274564672_0_2_0__14900&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl"
"أجنحة سالين - للوحدات السكنية المفروشة","As Suwayfilah Show on map","SAR 99","1 night, 1 adult","Double Room with Private Bathroom","1 large double bed","5.9","Review score","53 reviews","/hotel/sa/salyn-suites-llwhdt-lskny-lmfrwsh.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=755837401_332462892_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=59&highlighted_blocks=755837401_332462892_2_0_0&hpos=9&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=755837401_332462892_2_0_0__9900&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl"
"رمال الجزيره","Al Ḩawīyah Show on map","SAR 170","1 night, 1 adult","One-Bedroom Apartment","1 large double bed","6.3","Review score","153 reviews","/hotel/sa/rml-ljzyr-llwhdt-lskny.en-gb.html?label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=956ee88db58545495b4430ed6cc389f8&all_sr_blocks=513828603_335376182_2_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=60&highlighted_blocks=513828603_335376182_2_2_0&hpos=10&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=513828603_335376182_2_2_0__17000&srepoch=1634409300&srpvid=817582a962250259&ucfs=1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl"
