"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url"
"Iwaa Alkharj Apartments","Al Kharj Show on map","SAR 160","1 night, 2 adults","Deluxe Queen Room","1 double bed","7.8","Good","408 reviews","/hotel/sa/shqq-yw-lkhrj-lfndqy.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=630386105_245805660_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=651&highlighted_blocks=630386105_245805660_2_0_0&hpos=1&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=630386105_245805660_2_0_0__16000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v14JNeA7E7&from=searchresults
;highlight_room=#hotelTmpl"
"Lavana Furnished Apartments Salam","Al Salamah, Jeddah Show on map","SAR 152","1 night, 2 adults","Studio","1 extra-large double bed","7.9","Good","796 reviews","/hotel/sa/lavana.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=691505103_285026401_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=652&highlighted_blocks=691505103_285026401_2_0_0&hpos=2&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=691505103_285026401_2_0_0__15210&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1AL6lCtB3&from=searchresults
;highlight_room=#hotelTmpl"
"Bay La Sun Hotel and Marina - KAEC","King Abdullah Economic City Show on map","SAR 705","1 night, 2 adults","Deluxe Double Room with City View","1 large double bed","8.2","Very good","9,052 reviews","/hotel/sa/bay-la-sun-and-marina.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=83558502_189700952_0_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=653&highlighted_blocks=83558502_189700952_0_42_0&hpos=3&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=83558502_189700952_0_42_0__70500&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1nmnibDYO&from=searchresults
;highlight_room=#hotelTmpl"
"Vision of Onaizah Furnished Units","Unayzah Show on map","SAR 153","1 night, 2 adults","Twin Room","2 single beds","8.2","Very good","830 reviews","/hotel/sa/rwy-nyz-llwhdt-lskny.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=365785301_123845357_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=654&highlighted_blocks=365785301_123845357_2_0_0&hpos=4&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=365785301_123845357_2_0_0__15270&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1sKZjeHLo&from=searchresults
;highlight_room=#hotelTmpl"
"Rafa Homes","Riyadh Show on map","SAR 318","1 night, 2 adults","One-Bedroom Apartment","1 large double bed","7.5","Good","915 reviews","/hotel/sa/rafa-homes.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=105799303_264955967_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=655&highlighted_blocks=105799303_264955967_2_0_0&hpos=5&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=105799303_264955967_2_0_0__31820&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1uQVvi88s&from=searchresults
;highlight_room=#hotelTmpl"
"فندق لافندر","Taif Show on map","SAR 229","1 night, 2 adults","Studio Apartment","1 extra-large double bed","8.3","Very good","633 reviews","/hotel/sa/tera.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=717233601_304083642_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=656&highlighted_blocks=717233601_304083642_2_0_0&hpos=6&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=717233601_304083642_2_0_0__22900&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1DHonxomC&from=searchresults
;highlight_room=#hotelTmpl"
"Dar Al Naem Hotel","Central Madinah, Al Madinah Show on map","SAR 150","1 night, 2 adults","Standard Twin Room","2 single beds","6.4","Review score","1,373 reviews","/hotel/sa/dar-al-naeem.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=30141103_211331138_0_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=657&highlighted_blocks=30141103_211331138_0_42_0&hpos=7&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=30141103_211331138_0_42_0__15000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v12hdMXClZ&from=searchresults
;highlight_room=#hotelTmpl"
"Executives Hotel - Azizia","Al Aziziyah, Riyadh Show on map","SAR 279","1 night, 2 adults","Standard Double Room","1 large double bed","8.0","Very good","2,709 reviews","/hotel/sa/executives-azizia.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=29989601_93319561_0_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=658&highlighted_blocks=29989601_93319561_0_2_0&hpos=8&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=29989601_93319561_0_2_0__27900&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1VDU3Z9yP&from=searchresults
;highlight_room=#hotelTmpl"
"فندق المحمل العصري","Sharurah Show on map","SAR 150","1 night, 2 adults","Double Room","1 large double bed","","","","/hotel/sa/fndq-lmhml-l-sry.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=772019802_335100283_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=659&highlighted_blocks=772019802_335100283_2_0_0&hpos=9&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=772019802_335100283_2_0_0__15000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1W1GPJBXw&from=searchresults
;highlight_room=#hotelTmpl"
"Baylasun Life","King Abdullah Economic City Show on map","SAR 760","1 night, 2 adults","One-Bedroom Apartment","3 beds
(1 single, 1 sofa bed, 1 large double)","8.7","Fabulous","72 reviews","/hotel/sa/baylasun-life.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=4480c638cf3221887e003796d80c64df&all_sr_blocks=706916801_295499879_3_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=186&dest_type=country&group_adults=2&group_children=0&hapos=660&highlighted_blocks=706916801_295499879_3_0_0&hpos=10&no_rooms=1&sb_travel_purpose=business&sr_order=popularity&sr_pri_blocks=706916801_295499879_3_0_0__76000&srepoch=1634461090&srpvid=9c583f1051a40012&ucfs=1&sig=v1Hx3Y98Ec&from=searchresults
;highlight_room=#hotelTmpl"
