,name,location,price,price_for,room_type,beds,rating,rating_title,number_of_ratings,url
0,رواح للوحدات السكنية,Taif,SAR 190.00,"1 night, 1 adult",One-Bedroom Apartment,"2 beds
(1 extra-large double, 1 sofa bed)",7.5,Good,180 reviews,"https://www.booking.com/hotel/sa/twrnt-ll-jnh-lfndqy.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=519476801_335378148_3_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=26&highlighted_blocks=519476801_335378148_3_0_0&hpos=1&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=519476801_335378148_3_0_0__19000&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
1,Aloft Riyadh Hotel,Riyadh,SAR 475.00,"1 night, 1 adult","Breezy Room, Guest room, 1 King",1 extra-large double bed,8.2,Very good,"2,947 reviews","https://www.booking.com/hotel/sa/aloft-riyadh.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=190840113_246433988_2_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=27&highlighted_blocks=190840113_246433988_2_2_0&hpos=2&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=190840113_246433988_2_2_0__47500&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
2,Nourth House ApartHotel,Al Qurayyat,SAR 200.00,"1 night, 1 adult",Budget Twin Room,2 single beds,7.5,Good,264 reviews,"https://www.booking.com/hotel/sa/nwrth-hws-lqryt.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=359741503_216231308_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=28&highlighted_blocks=359741503_216231308_2_0_0&hpos=3&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=359741503_216231308_2_0_0__20000&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
3,Dyar Al Hamra Hotel,Jeddah,SAR 340.00,"1 night, 1 adult",Junior Suite King,1 extra-large double bed,7.7,Good,"3,923 reviews","https://www.booking.com/hotel/sa/dyar-inn.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=196729303_105570242_0_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=29&highlighted_blocks=196729303_105570242_0_2_0&hpos=4&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=196729303_105570242_0_2_0__34000&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
4,Courtyard by Marriott Riyadh Northern Ring Road,Riyadh,SAR 525.00,"1 night, 1 adult","Standard, Guest room, 1 King",1 extra-large double bed,8.1,Very good,"1,032 reviews","https://www.booking.com/hotel/sa/courtyard-riyadh-northern-ring-road.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=637316901_250710189_0_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=30&highlighted_blocks=637316901_250710189_0_2_0&hpos=5&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=637316901_250710189_0_2_0__52500&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
5,جراند بلو للشقق الفندقية,Dammam,SAR 207.00,"1 night, 1 adult",One-Bedroom Apartment,1 extra-large double bed,7.3,Good,114 reviews,"https://www.booking.com/hotel/sa/jrnd-blw-llshqq-lfndqy-grand-blue.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=676533201_276260749_2_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=31&highlighted_blocks=676533201_276260749_2_0_0&hpos=6&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=676533201_276260749_2_0_0__20720&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
6,Golden Bujari Al-Dhahran - Hotel,Al Khobar,SAR 490.00,"1 night, 1 adult",Deluxe Twin Room,2 single beds,8.4,Very good,"2,315 reviews","https://www.booking.com/hotel/sa/goldenbujari-dhahran-al-khobar.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=302063502_111321802_0_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=32&highlighted_blocks=302063502_111321802_0_2_0&hpos=7&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=302063502_111321802_0_2_0__49000&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
7,Best Western Plus Buraidah,Buraydah,SAR 330.00,"1 night, 1 adult",Grand Non-Smoking 2 Twin Beds Room,2 single beds,8.0,Very good,"1,552 reviews","https://www.booking.com/hotel/sa/best-western-plus-buraidah.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=201373025_206956174_2_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=33&highlighted_blocks=201373025_206956174_2_2_0&hpos=8&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=201373025_206956174_2_2_0__33000&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
8,Al Hayatt Plus,Riyadh,SAR 210.00,"1 night, 1 adult",Economy Quadruple Room,4 single beds,6.9,Review score,"2,300 reviews","https://www.booking.com/hotel/sa/hy-l-lmy2.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=656939203_269179259_0_0_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=34&highlighted_blocks=656939203_269179259_0_0_0&hpos=9&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=656939203_269179259_0_0_0__21000&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
9,Courtyard by Marriott Riyadh Olaya,Riyadh,SAR 550.00,"1 night, 1 adult","Guest room, 2 Double",1 extra-large double bed,8.3,Very good,"2,859 reviews","https://www.booking.com/hotel/sa/courtyard-by-marriott-riyadh-olaya.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AELiAIBqAIDuALCxJ31BcACAdgCAg&sid=313bcfc7865e0249bac4a016f42ebac7&all_sr_blocks=197139605_246434124_2_2_0&checkin=2021-10-16&checkout=2021-10-17&dest_id=186&dest_type=country&group_adults=1&group_children=0&hapos=35&highlighted_blocks=197139605_246434124_2_2_0&hpos=10&no_rooms=1&req_adults=1&req_children=0&room1=A&sr_order=popularity&sr_pri_blocks=197139605_246434124_2_2_0__55000&srepoch=1634408598&srpvid=7c4e814a033100b9&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
