"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url","cm"
"Orchid Suites 4","South Obhr, Jeddah Show on map","SAR 225","1 night, 2 adults","Junior Suite with Sea View","1 extra-large double bed","7.5","Good","1,298 reviews","/hotel/sa/jnh-lwrkyd-4-orchid-suites.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=f4dcb2284c9c95054612e845676783d1&all_sr_blocks=257180508_243012449_0_1_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=26&highlighted_blocks=257180508_243012449_0_1_0&hpos=1&no_rooms=1&sr_order=popularity&sr_pri_blocks=257180508_243012449_0_1_0__22500&srepoch=1634542953&srpvid=b3483634c820020f&ucfs=1&sig=v1IIn_q7Xm&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl","Private suite­ •­ 1 bedroom •­ 1 living room •­ 1 bathroom •­ 45m² 1 extra-large double bed"
"Mena Red Sea Palace","Jeddah Show on map","SAR 240","1 night, 2 adults","Standard King Room","1 extra-large double bed","7.1","Good","1,899 reviews","/hotel/sa/red-sea-palace.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=f4dcb2284c9c95054612e845676783d1&all_sr_blocks=18380111_169861170_0_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=27&highlighted_blocks=18380111_169861170_0_42_0&hpos=2&no_rooms=1&sr_order=popularity&sr_pri_blocks=18380111_169861170_0_42_0__24000&srepoch=1634542953&srpvid=b3483634c820020f&ucfs=1&sig=v1qWvVyzs6&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl","1 extra-large double bed"
"Shada Hotel Al Shati","Al Shatiea, Jeddah Show on map","SAR 473","1 night, 2 adults","King Room","1 extra-large double bed","8.8","Fabulous","1,372 reviews","/hotel/sa/shada-jeddah.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=f4dcb2284c9c95054612e845676783d1&all_sr_blocks=466146701_143485189_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=28&highlighted_blocks=466146701_143485189_2_0_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=466146701_143485189_2_0_0__47340&srepoch=1634542953&srpvid=b3483634c820020f&ucfs=1&sig=v1eDED8m-Y&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl","1 extra-large double bed"
"Diwan Residence Hotel- Alsalamah","Al Salamah, Jeddah Show on map","SAR 304","1 night, 2 adults","Deluxe Twin Room","3 beds
(2 singles, 1 sofa bed)","9.0","Superb","1,348 reviews","/hotel/sa/dywn-lljnh-lfndqy-jd.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=f4dcb2284c9c95054612e845676783d1&all_sr_blocks=337046206_116528816_2_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=29&highlighted_blocks=337046206_116528816_2_2_0&hpos=4&no_rooms=1&sr_order=popularity&sr_pri_blocks=337046206_116528816_2_2_0__30400&srepoch=1634542953&srpvid=b3483634c820020f&ucfs=1&sig=v1WYziDcZh&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl","3 beds
(2 singles, 1 sofa bed)"
"شاطئ الحياة للأجنحة الفندقية","Hera Street, Jeddah Show on map","SAR 192","1 night, 2 adults","Studio","1 extra-large double bed","8.1","Very good","382 reviews","/hotel/sa/lhy-ll-jnh-lfndqy.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=f4dcb2284c9c95054612e845676783d1&all_sr_blocks=723571701_309934003_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=30&highlighted_blocks=723571701_309934003_2_0_0&hpos=5&no_rooms=1&sr_order=popularity&sr_pri_blocks=723571701_309934003_2_0_0__19200&srepoch=1634542953&srpvid=b3483634c820020f&ucfs=1&sig=v1oCIAbrkG&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl","Entire studio­ •­ 1 bathroom •­ 43m² 1 extra-large double bed"
"Adagio Jeddah City Center","Al Andalus, Jeddah Show on map","SAR 299","1 night, 2 adults","Double Studio","1 double bed","8.4","Very good","168 reviews","/hotel/sa/adagio-jeddah-city-center.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=f4dcb2284c9c95054612e845676783d1&all_sr_blocks=604484504_334847149_2_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=31&highlighted_blocks=604484504_334847149_2_42_0&hpos=6&no_rooms=1&sr_order=popularity&sr_pri_blocks=604484504_334847149_2_42_0__29900&srepoch=1634542953&srpvid=b3483634c820020f&ucfs=1&sig=v16EbOYE4i&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl","Private studio­ •­ 1 bathroom •­ 35m² 1 double bed"
"Assila, a Luxury Collection Hotel, Jeddah","Al Andalus, Jeddah Show on map","SAR 950","1 night, 2 adults","Deluxe Guest Room, 1 King, City View","1 extra-large double bed","8.9","Fabulous","791 reviews","/hotel/sa/assila-a-luxury-collection-hotel-jeddah.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=f4dcb2284c9c95054612e845676783d1&all_sr_blocks=181442312_233657464_2_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=32&highlighted_blocks=181442312_233657464_2_2_0&hpos=7&no_rooms=1&sr_order=popularity&sr_pri_blocks=181442312_233657464_2_2_0__95000&srepoch=1634542953&srpvid=b3483634c820020f&ucfs=1&sig=v1SNCOOaLZ&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl","1 extra-large double bed"
"Al Rose Al Motamaiza Furnished Apartment","Sari Street, Jeddah Show on map","SAR 144","1 night, 2 adults","Standard Studio","1 double bed","7.3","Good","483 reviews","/hotel/sa/lhryrh-llwhdt-lsknyh-lmfrwshh.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=f4dcb2284c9c95054612e845676783d1&all_sr_blocks=115012808_298737825_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=33&highlighted_blocks=115012808_298737825_0_0_0&hpos=8&no_rooms=1&sr_order=popularity&sr_pri_blocks=115012808_298737825_0_0_0__14400&srepoch=1634542953&srpvid=b3483634c820020f&ucfs=1&sig=v1WA0XjqAY&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl","Entire apartment­ •­ 1 bedroom •­ 1 living room •­ 1 bathroom •­ 18m² 1 double bed"
"Ramada by Wyndham Continental Jeddah","Palestine  Street, Jeddah Show on map","SAR 356","1 night, 2 adults","1 King Bed Superior Room","1 large double bed","7.9","Good","1,636 reviews","/hotel/sa/ramada-continental-jeddah.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=f4dcb2284c9c95054612e845676783d1&all_sr_blocks=7311122_331681282_2_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=34&highlighted_blocks=7311122_331681282_2_42_0&hpos=9&no_rooms=1&sr_order=popularity&sr_pri_blocks=7311122_331681282_2_42_0__35625&srepoch=1634542953&srpvid=b3483634c820020f&ucfs=1&sig=v1WW_FQ6lR&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl","1 large double bed"
"Karam Jeddah Hotel","Jeddah Show on map","SAR 221","1 night, 2 adults","Deluxe Double or Twin Room","1 extra-large double bed","8.4","Very good","1,730 reviews","/hotel/sa/al-hayas.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=f4dcb2284c9c95054612e845676783d1&all_sr_blocks=322729602_114903349_2_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=35&highlighted_blocks=322729602_114903349_2_42_0&hpos=10&no_rooms=1&sr_order=popularity&sr_pri_blocks=322729602_114903349_2_42_0__22100&srepoch=1634542953&srpvid=b3483634c820020f&ucfs=1&sig=v1J99ErXvA&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl","1 extra-large double bed"
"Wakan Kinan","Al Salamah, Jeddah Show on map","SAR 234","1 night, 2 adults","Superior King Suite","1 extra-large double bed","7.6","Good","666 reviews","/hotel/sa/kinan-jeddah.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=f4dcb2284c9c95054612e845676783d1&all_sr_blocks=295298001_288661571_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=36&highlighted_blocks=295298001_288661571_0_0_0&hpos=11&no_rooms=1&sr_order=popularity&sr_pri_blocks=295298001_288661571_0_0_0__23375&srepoch=1634542953&srpvid=b3483634c820020f&ucfs=1&sig=v1cMN3yFs1&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl","Private suite­ •­ 1 bedroom •­ 1 living room •­ 1 bathroom •­ 46m² 1 extra-large double bed"
"Le Meridien Jeddah","Al Rawda, Jeddah Show on map","SAR 525","1 night, 2 adults","Standard Room King, Guest room, King, City view","1 extra-large double bed","7.6","Good","1,196 reviews","/hotel/sa/le-meridien-jeddah.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=f4dcb2284c9c95054612e845676783d1&all_sr_blocks=18512510_274564674_0_10_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=37&highlighted_blocks=18512510_274564674_0_10_0&hpos=12&no_rooms=1&sr_order=popularity&sr_pri_blocks=18512510_274564674_0_10_0__52500&srepoch=1634542953&srpvid=b3483634c820020f&ucfs=1&sig=v1Jh1npkfF&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl","1 extra-large double bed"
"Radisson Blu Plaza Jeddah","Jeddah Show on map","SAR 329","1 night, 2 adults","Standard Room","1 large double bed","8.0","Very good","3,650 reviews","/hotel/sa/radisson-blu-plaza-jeddah.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=f4dcb2284c9c95054612e845676783d1&all_sr_blocks=142080801_114021667_2_34_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=38&highlighted_blocks=142080801_114021667_2_34_0&hpos=13&no_rooms=1&sr_order=popularity&sr_pri_blocks=142080801_114021667_2_34_0__32900&srepoch=1634542953&srpvid=b3483634c820020f&ucfs=1&sig=v1T1Jdf9h-&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl","1 large double bed"
"Semat ApartHotel","Al Salamah, Jeddah Show on map","SAR 240","1 night, 2 adults","One-Bedroom Apartment","1 large double bed","8.3","Very good","458 reviews","/hotel/sa/smt-llwhdt-lskny-lmfrwsh.en-gb.html?aid=304142&label=gen173nr-1FCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AEB6AEB-AEMiAIBqAIDuALCxJ31BcACAdgCAg&sid=f4dcb2284c9c95054612e845676783d1&all_sr_blocks=646494101_265553008_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3096108&dest_type=city&group_adults=2&group_children=0&hapos=39&highlighted_blocks=646494101_265553008_2_0_0&hpos=14&no_rooms=1&sr_order=popularity&sr_pri_blocks=646494101_265553008_2_0_0__24000&srepoch=1634542953&srpvid=b3483634c820020f&ucfs=1&sig=v1WWUuxS5f&from=searchresults
;highlight_room=;from_sr_card=1#hotelTmpl","Entire apartment­ •­ 1 bedroom •­ 1 living room •­ 1 bathroom •­ 50m² 1 large double bed"
