"name","location","price","price_for","room_type","beds","rating","rating_title","number_of_ratings","url","cm"
"Anwar Al Madinah Mövenpick","Central Madinah, Al Madinah Show on map","SAR 400","1 night, 2 adults","Superior King Room","1 extra-large double bed","7.7","Good","14,257 reviews","/hotel/sa/anwar-al-madinah-movenpick.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=24734339_244914220_2_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=1&highlighted_blocks=24734339_244914220_2_2_0&hpos=1&no_rooms=1&sr_order=popularity&sr_pri_blocks=24734339_244914220_2_2_0__40000&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Al Hayatt Plus","Central Madinah, Al Madinah Show on map","SAR 175","1 night, 2 adults","Economy Double Room","2 single beds","6.9","Review score","2,314 reviews","/hotel/sa/hy-l-lmy2.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=656939201_269179259_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=2&highlighted_blocks=656939201_269179259_0_0_0&hpos=2&no_rooms=1&sr_order=popularity&sr_pri_blocks=656939201_269179259_0_0_0__17500&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","2 single beds"
"Madinah Mövenpick Hotel","Central Madinah, Al Madinah Show on map","SAR 229","1 night, 2 adults","Superior King Room","1 extra-large double bed","7.6","Good","3,638 reviews","/hotel/sa/madinah-movenpick.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=23865821_244670208_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=3&highlighted_blocks=23865821_244670208_2_0_0&hpos=3&no_rooms=1&sr_order=popularity&sr_pri_blocks=23865821_244670208_2_0_0__22900&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
"Taiba Madinah Hotel","Central Madinah, Al Madinah Show on map","SAR 210","1 night, 2 adults","Superior Room Twin bed, City View","Beds: 1 double or 2 singles","8.0","Very good","1,310 reviews","/hotel/sa/millennium-taiba-hotel.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=43205604_330426194_0_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=4&highlighted_blocks=43205604_330426194_0_2_0&hpos=4&no_rooms=1&sr_order=popularity&sr_pri_blocks=43205604_330426194_0_2_0__21000&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","Beds: 1 double or 2 singles"
"Hayatt International1","Central Madinah, Al Madinah Show on map","SAR 150","1 night, 2 adults","Economy Double Room","2 single beds","6.6","Review score","813 reviews","/hotel/sa/hayatt-international-1.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=665411201_272799188_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=5&highlighted_blocks=665411201_272799188_2_0_0&hpos=5&no_rooms=1&sr_order=popularity&sr_pri_blocks=665411201_272799188_2_0_0__15000&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","2 single beds"
"Crowne Plaza Madinah, an IHG Hotel","Central Madinah, Al Madinah Show on map","SAR 235","1 night, 2 adults","Twin Room","2 single beds","8.1","Very good","3,674 reviews","/hotel/sa/crown-plaza-medina.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=54715338_86436960_2_2_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=6&highlighted_blocks=54715338_86436960_2_2_0&hpos=6&no_rooms=1&sr_order=popularity&sr_pri_blocks=54715338_86436960_2_2_0__23500&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","2 single beds"
"Madinah Hilton Hotel","Central Madinah, Al Madinah Show on map","SAR 500","1 night, 2 adults","Twin Deluxe Room with Partial Haram View","2 single beds","8.3","Very good","5,308 reviews","/hotel/sa/madinah-hilton.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=4642724_298776728_2_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=7&highlighted_blocks=4642724_298776728_2_0_0&hpos=7&no_rooms=1&sr_order=popularity&sr_pri_blocks=4642724_298776728_2_0_0__50000&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","2 single beds"
"Elaf Taiba Hotel","Central Madinah, Al Madinah Show on map","SAR 189","1 night, 2 adults","Standard Triple Room","3 single beds","7.2","Good","5,332 reviews","/hotel/sa/elaf-taiba.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=24339130_89296765_0_0_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=8&highlighted_blocks=24339130_89296765_0_0_0&hpos=8&no_rooms=1&sr_order=popularity&sr_pri_blocks=24339130_89296765_0_0_0__18900&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","3 single beds"
"Swiss International Taba Alsalam","Central Madinah, Al Madinah Show on map","SAR 270","1 night, 2 adults","Double Room with Private Bathroom","1 large double bed","7.7","Good","4,443 reviews","/hotel/sa/taba-alasalam.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=375096503_120281663_2_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=9&highlighted_blocks=375096503_120281663_2_42_0&hpos=9&no_rooms=1&sr_order=popularity&sr_pri_blocks=375096503_120281663_2_42_0__27000&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 large double bed"
"Dar Al Iman InterContinental, an IHG Hotel","Central Madinah, Al Madinah Show on map","SAR 500","1 night, 2 adults","Standard King Room with City View","1 extra-large double bed","8.6","Fabulous","6,079 reviews","/hotel/sa/dar-al-iman-intercontinental.en-gb.html?aid=304142&label=gen173nr-1DCAEoggI46AdIM1gEaKQCiAEBmAEJuAEHyAEM2AED6AEBiAIBqAIDuALCxJ31BcACAQ&sid=dede9e04eec2dfd32df8b4017c29f4c9&all_sr_blocks=25049439_247227044_2_42_0&checkin=2021-10-18&checkout=2021-10-19&dest_id=-3092186&dest_type=city&group_adults=2&group_children=0&hapos=10&highlighted_blocks=25049439_247227044_2_42_0&hpos=10&no_rooms=1&sr_order=popularity&sr_pri_blocks=25049439_247227044_2_42_0__50000&srepoch=1634546550&srpvid=d1663d3a55490008&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl","1 extra-large double bed"
